UNHAPPY,AGE,HEALTH,RINCOM91,EDUC,SEX,BLACK,OTHER_RACE,TRAUMA1,WIDOWED,DIVORCED,SEPARATED,NEVER_MARRIED
0,59,0,16,12,0,0,0,1,1,0,0,0
0,59,0,9,16,1,0,1,1,1,0,0,0
0,59,4,13,12,1,0,0,0,0,1,0,0
0,58,4,0,14,0,0,0,0,0,0,0,0
0,58,3,21,14,1,0,0,0,0,0,0,0
0,58,3,21,16,1,0,0,0,0,0,0,0
0,58,3,18,18,1,0,0,0,0,0,0,0
0,58,0,11,12,1,0,0,0,0,0,0,0
0,58,2,16,12,1,0,0,0,0,0,0,0
0,58,0,17,12,1,0,0,0,0,0,0,0
0,58,2,2,13,0,0,0,0,0,0,0,0
0,58,4,11,14,1,0,0,0,0,0,0,0
0,58,0,19,16,1,0,0,0,0,0,0,0
0,58,0,0,12,0,0,0,1,0,0,0,0
0,58,3,0,13,0,0,0,1,0,0,0,0
0,58,0,18,17,1,0,0,1,0,0,0,0
0,58,2,7,13,0,0,0,0,1,0,0,0
0,58,2,9,14,1,0,0,0,1,0,0,0
1,58,3,10,18,1,0,0,0,1,0,0,0
0,58,2,3,12,0,0,0,0,0,1,0,0
0,58,3,1,16,1,0,0,0,0,1,0,0
0,58,0,0,7,0,0,0,0,0,1,0,0
0,58,0,11,13,1,0,0,0,0,1,0,0
0,58,3,21,16,1,0,0,0,0,1,0,0
1,58,0,9,12,0,0,0,1,0,1,0,0
0,58,1,0,7,1,1,0,1,0,1,0,0
0,58,0,1,8,1,0,0,1,0,1,0,0
0,58,2,0,12,0,1,0,0,0,0,1,0
0,57,3,4,10,1,0,0,0,0,0,0,0
0,57,4,11,12,0,0,0,0,0,0,0,0
0,57,4,13,12,0,0,0,0,0,0,0,0
0,57,3,20,17,1,0,0,0,0,0,0,0
0,57,4,21,17,1,0,0,0,0,0,0,0
0,57,4,10,18,0,0,0,0,0,0,0,0
0,57,4,2,8,1,1,0,1,0,0,0,0
0,57,2,9,11,0,0,0,1,0,0,0,0
0,57,0,21,20,1,0,0,1,0,0,0,0
1,57,0,0,10,1,0,0,1,0,0,0,0
0,57,3,10,8,0,0,0,0,1,0,0,0
1,57,1,0,10,0,1,0,0,1,0,0,0
0,57,1,0,14,0,0,0,1,1,0,0,0
0,57,4,18,14,0,1,0,0,0,1,0,0
0,57,4,15,14,0,0,0,0,0,1,0,0
0,57,4,18,14,0,0,0,1,0,1,0,0
0,57,3,19,16,0,0,0,1,0,1,0,0
1,57,0,0,6,0,0,0,0,0,1,0,0
0,57,3,15,12,1,0,0,0,0,0,0,1
0,56,4,15,10,0,1,0,0,0,0,0,0
0,56,3,15,10,1,0,0,0,0,0,0,0
0,56,4,0,12,0,0,1,0,0,0,0,0
0,56,2,0,12,0,0,0,0,0,0,0,0
0,56,3,19,12,1,0,0,0,0,0,0,0
0,56,2,0,12,1,1,0,0,0,0,0,0
0,56,3,21,19,1,0,0,0,0,0,0,0
0,56,0,0,10,0,0,0,1,0,0,0,0
0,56,0,0,10,0,0,0,1,0,0,0,0
0,56,3,2,18,1,0,0,0,0,1,0,0
0,56,4,19,18,0,0,1,0,0,1,0,0
0,56,3,11,11,0,0,0,0,0,1,0,0
0,56,4,19,18,1,0,0,0,0,0,0,1
0,55,3,14,16,0,0,0,0,0,0,0,0
0,55,3,18,16,1,0,0,0,0,0,0,0
0,55,3,15,12,0,0,0,0,0,0,0,0
0,55,0,9,13,0,1,0,0,0,0,0,0
0,55,3,10,13,0,0,0,0,0,0,0,0
0,55,0,14,13,0,0,0,0,0,0,0,0
0,55,0,12.33,15,1,0,1,0,0,0,0,0
0,55,4,10,16,0,0,0,0,0,0,0,0
0,55,0,18,17,1,0,0,0,0,0,0,0
0,55,0,0,12,0,0,0,1,0,0,0,0
0,55,0,16,12,0,0,0,1,0,0,0,0
0,55,4,0,13,0,0,0,1,0,0,0,0
0,55,4,16,13,1,0,0,1,0,0,0,0
0,55,3,13,16,0,0,0,1,0,0,0,0
0,55,3,21,20,1,0,0,1,0,0,0,0
0,55,4,12,12,0,0,0,0,1,0,0,0
1,55,0,3,6,0,0,0,1,1,0,0,0
0,55,0,0,16,0,0,0,1,1,0,0,0
0,55,2,0,11,1,0,0,0,0,1,0,0
1,55,1,0,12,0,0,0,0,0,1,0,0
0,55,0,10,12,1,0,0,1,0,1,0,0
0,55,2,16,14,1,0,0,1,0,1,0,0
0,55,2,18,12,0,0,0,0,0,0,0,1
1,54,3,1,8,0,0,0,0,0,0,0,0
0,54,4,0,15,0,0,0,0,0,0,0,0
0,54,2,16,11,1,0,0,0,0,0,0,0
0,54,3,0,12,0,0,0,0,0,0,0,0
0,54,4,10,16,0,0,0,0,0,0,0,0
0,54,3,17,16,0,0,0,0,0,0,0,0
0,54,4,18,16,0,0,0,0,0,0,0,0
0,54,4,0,12,0,0,0,1,0,0,0,0
0,54,0,0,16,1,0,0,1,0,0,0,0
0,54,1,0,9,0,0,0,0,0,0,0,0
0,54,3,8,12,0,0,0,0,1,0,0,0
0,54,1,0,9,0,0,0,0,0,1,0,0
0,54,1,0,12,0,0,0,0,0,1,0,0
0,54,3,13,12,0,0,0,0,0,1,0,0
0,54,4,16,12,0,0,0,0,0,1,0,0
0,54,0,0,16,0,0,0,0,0,1,0,0
0,54,0,0,14,0,0,0,1,0,1,0,0
0,54,3,2,18,0,0,0,0,0,0,0,1
1,54,1,0,7,0,0,1,0,0,0,0,1
1,53,1,17,14,0,0,0,0,0,0,0,0
1,53,4,15,18,1,0,0,0,0,0,0,0
0,53,4,18,18,0,0,0,0,0,0,0,0
0,53,0,0,12,0,0,0,0,0,0,0,0
0,53,0,0,12,0,0,0,0,0,0,0,0
0,53,4,9,13,0,0,0,0,0,0,0,0
0,53,0,12.33,13,0,0,0,0,0,0,0,0
1,53,3,20,14,1,0,0,0,0,0,0,0
0,53,4,9,16,0,0,0,0,0,0,0,0
0,53,3,16,15,0,0,0,1,0,0,0,0
0,53,3,17,18,1,0,0,1,0,0,0,0
0,53,0,10,14,0,0,1,1,0,0,0,0
0,53,1,12.33,13.05,0,0,0,0,0,0,0,0
0,53,2,0,12,0,0,0,1,0,1,0,0
1,53,3,0,17,0,0,0,1,0,1,0,0
1,53,1,0,7,1,0,0,0,0,0,0,1
0,53,4,18,20,1,0,0,0,0,0,0,1
0,53,0,0,12,1,0,0,1,0,0,0,1
0,52,3,10,12,0,0,0,0,0,0,0,0
0,52,4,14,12,1,0,0,0,0,0,0,0
0,52,3,15,12,1,0,0,0,0,0,0,0
0,52,4,12.33,12,1,1,0,0,0,0,0,0
0,52,1,1,14,0,0,0,0,0,0,0,0
0,52,0,16,6,1,0,0,0,0,0,0,0
0,52,3,4,8,1,1,0,0,0,0,0,0
0,52,3,11,10,1,0,0,0,0,0,0,0
0,52,4,1,13,0,0,0,0,0,0,0,0
0,52,3,12,14,0,0,0,0,0,0,0,0
